"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"209",2018,"Serious Crash","Bay of Plenty Region","04","Whakatane District","025",20
"210",2018,"Serious Crash","Bay of Plenty Region","04","Ōpōtiki District","027",11
"211",2018,"Serious Crash","Canterbury Region","13","Ashburton District","063",10
"212",2018,"Serious Crash","Canterbury Region","13","Christchurch City","060",79
"213",2018,"Serious Crash","Canterbury Region","13","Hurunui District","058",15
"214",2018,"Serious Crash","Canterbury Region","13","Kaikoura District","054",2
"215",2018,"Serious Crash","Canterbury Region","13","Mackenzie District","065",1
"216",2018,"Serious Crash","Canterbury Region","13","Selwyn District","062",13
"217",2018,"Serious Crash","Canterbury Region","13","Timaru District","064",17
"218",2018,"Serious Crash","Canterbury Region","13","Waimakariri District","059",9
"219",2018,"Serious Crash","Canterbury Region","13","Waimate District","066",7
"220",2018,"Serious Crash","Canterbury Region","13","Waitaki District","068",2
"221",2018,"Serious Crash","Gisborne Region","05","Gisborne District","028",22
"222",2018,"Serious Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",5
